OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
43,43,53,105,POLK,Polk,FL,44622,1123,2424,5443,6847,6613,6485,6207,5008,3035,1327,110,0 to 119,44,24579,19760,283,44402,220,0,7575,25289,231,19301,628,25696,18842,1,83,44318,22961,2589,129,17,13658,11732,160,25550,532,1482,3880,4484,4187,3803,3201,2135,1308,670,14,0 to 103,40,15284,4347,2118,3801,7475,13400,4675,3809,27,2731,23,2,657,25696,11796,13740,25550,146,0,151093,78,176998,151171,25696,657,11563,10997,{233F5CAC-222A-4EE3-81FE-76BB2A2139F5},163,1843,2006,0.081256231,40,3.747319078,0.477444148
44,44,49,97,OSCEOLA,Osceola,FL,30613,564,1965,3858,4973,5062,5057,4165,2832,1421,542,174,0 to 155,42,16520,13920,173,30417,196,0,4652,16383,390,11979,443,16491,13910,2,210,30206,16027,309,144,11,8561,7691,84,16336,291,993,2540,3079,2955,2795,1857,1114,598,259,10,0 to 105,39,6503,1013,5095,3725,8971,3731,3634,1657,17,912,11,2,229,16491,7781,8622,16336,155,0,94943,41,111621,94984,16491,229,9612,9108,{98FBCDAD-181A-4269-A498-787173F6E740},220,2022,2242,0.098126673,39,3.375268582,0.357928282
45,45,28,55,HIGHLANDS,Highlands,FL,7555,173,368,668,885,772,901,1132,1168,977,501,10,0 to 119,55,4294,3209,52,7470,85,0,635,4332,47,3076,129,3325,4208,0,22,7449,3022,281,22,0,1783,1507,13,3303,44,145,389,450,388,441,516,438,358,156,0,0 to 99,51,2044,399,452,408,794,2002,507,606,7,344,4,0,133,3325,1520,1791,3303,22,0,23090,62,26487,23152,3325,133,3583,3469,{0861B99E-575F-41B4-992B-839B0B3F4F63},40,378,418,0.09569378,49,2.84124661,0.261466144
46,46,36,71,LEE,Lee,FL,52607,796,1887,6318,7338,7007,7525,7970,7243,4458,1988,77,0 to 119,49,29038,23198,371,51228,1378,1,2907,38580,613,16745,460,26989,25553,2,63,51164,25258,1219,500,12,13885,12342,250,26477,446,1038,4377,4582,3986,4045,3632,2615,1480,770,18,0 to 103,42,13352,2377,1634,9114,5727,11349,9401,2946,37,1686,31,11,549,26989,12616,14112,26476,512,1,157118,912,185153,158030,26989,549,11480,9886,{D113537A-BA7A-4D3B-936C-EA742824206C},277,2708,2985,0.09279732,42,5.538754124,0.191375285
47,47,11,21,COLLIER,Collier,FL,31264,752,1504,3856,4074,4145,4480,4559,4045,2822,1013,14,0 to 105,48,16459,14717,88,30705,559,0,3010,18667,356,13012,590,16308,14872,3,81,30622,15541,485,264,18,8118,7849,59,16026,370,797,2597,2561,2511,2590,2223,1388,865,402,4,0 to 104,42,8678,894,1708,4746,5726,5753,4547,1721,32,1069,17,7,268,16308,8001,8247,16026,282,0,85640,279,102354,85919,16308,268,10081,9089,{B407DCD0-FA26-4BA4-BFDB-B31C63C940BA},181,1010,1191,0.151973132,41,5.510854341,0.469024646
48,48,13,25,DADE,Dade,FL,348848,5666,12746,40438,60254,56314,61425,52263,31972,17596,9339,835,0 to 225,44,180797,166080,1971,345943,2904,1,21576,261914,2785,57871,1803,207222,140979,84,563,345297,203323,1997,1880,21,104604,99715,1001,205320,3536,8886,29174,38745,34209,36047,27919,15416,8502,4488,299,0 to 108,41,93332,17216,29340,65432,108033,32034,65253,16558,116,8397,52,22,3731,207221,100717,105428,205319,1901,1,973613,1023,1183831,974636,207221,3731,43408,42677,{AEA3AE00-E34E-48C0-8B01-466A26B4B1E0},1661,16373,18034,0.092103804,42,5.083999885,0.459639407
49,49,44,87,MONROE,Monroe,FL,7863,191,317,775,1238,1190,1330,1345,936,405,134,2,0 to 101,46,4019,3810,34,7720,143,0,1779,2964,83,3253,251,2892,4901,0,70,7652,2775,44,68,5,1369,1445,5,2819,61,105,351,587,518,506,369,253,107,35,0,0 to 100,41,2099,194,103,423,935,1403,481,377,9,161,5,0,25,2892,1488,1399,2819,73,0,21129,67,24101,21196,2892,25,4507,4233,{629DEEAE-BCFA-4AD2-8DE1-1D764EDD7AC6},36,271,307,0.117263844,41,13.26280408,0.235931609
50,50,57,113,SANTA ROSA,Santa Rosa,FL,14616,400,861,1845,2068,2182,2299,2199,1599,813,337,13,0 to 119,44,7508,7071,37,14474,142,0,1055,7594,99,5637,393,6740,7807,0,69,14406,6549,106,85,0,3082,3565,8,6655,103,329,1130,1090,1082,1118,950,529,283,124,2,0 to 105,41,4724,635,402,894,287,5339,1029,369,1,406,3,2,96,6740,3596,3136,6655,85,0,37750,58,44587,37808,6740,96,6000,5460,{EDF59BBC-47AF-4B2F-BD97-6DAB59DD7B4C},67,433,500,0.134,41,3.552029248,0.244558859
51,51,66,131,WALTON,Walton,FL,5365,102,231,728,782,848,843,858,542,271,154,6,0 to 101,44,2662,2651,52,4952,413,0,468,3571,15,3322,433,3333,2029,0,3,4949,2896,117,314,6,1367,1629,17,3013,36,131,557,552,588,544,500,272,125,26,2,0 to 101,41,1970,258,135,650,382,1983,648,424,31,139,6,4,34,3333,1774,1540,3013,320,0,15538,96,19005,15634,3333,34,1529,1474,{31CA379B-FB64-4C77-9456-056BCF505A65},29,147,176,0.164772727,41,3.601388778,0.254870622
52,52,32,63,JACKSON,Jackson,FL,6576,120,279,715,1126,1119,1092,928,594,380,221,2,0 to 105,44,2803,3702,71,6511,65,0,163,3518,19,3345,51,3603,2936,0,37,6474,3369,182,48,4,1370,2172,9,3551,41,133,423,657,643,599,482,303,203,119,0,0 to 100,43,1736,685,176,954,122,2019,1410,263,5,209,3,0,89,3603,2196,1397,3551,52,0,16181,13,19810,16194,3603,89,2720,2528,{BAF89079-8026-4E6B-B424-2DD9BC8AF99D},39,307,346,0.112716763,43,2.216465106,0.231093281
