OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
46,46,36,71,LEE,Lee,FL,57414,855,2277,6991,8014,7638,8138,8700,7843,4812,2067,79,0 to 119,48,31490,25504,420,55819,1594,1,3377,41163,613,18191,517,31243,26086,2,83,55737,29153,1375,699,16,15964,14281,283,30528,489,1229,4924,5190,4548,4620,4323,3207,1843,851,19,0 to 103,43,16163,2642,2131,9592,6578,14051,9899,3094,54,1774,37,12,596,31243,14673,16274,30527,715,1,176298,922,208605,177220,31243,596,13863,12271,{D113537A-BA7A-4D3B-936C-EA742824206C},376,3939,4315,0.087137891,42,5.538754124,0.191375285
47,47,11,21,COLLIER,Collier,FL,33594,799,1667,4127,4399,4408,4820,4957,4353,2987,1062,15,0 to 105,48,17636,15865,93,32914,680,0,3455,19362,356,14834,683,18334,15153,3,104,32810,17194,739,352,49,9065,8805,63,17933,405,879,2830,2868,2748,2880,2589,1671,1015,445,4,0 to 104,42,9960,955,1881,5137,6191,6834,4908,1810,35,1134,19,8,285,18334,9020,9248,17933,401,0,92802,280,111543,93082,18334,285,10965,9973,{B407DCD0-FA26-4BA4-BFDB-B31C63C940BA},198,1363,1561,0.126841768,42,5.510854341,0.469024646
48,48,13,25,DADE,Dade,FL,379202,6602,15597,45108,66274,61247,65985,55741,33670,18450,9680,848,0 to 225,44,196663,180465,2074,375492,3709,1,25292,277405,2785,64303,1954,236309,142188,81,624,374788,231718,2020,2548,22,119467,113142,1129,233738,4306,11100,33710,44770,39038,40501,31330,17073,9332,4838,310,0 to 108,41,112433,18788,34772,67745,129723,37833,66182,17124,135,8615,59,23,3868,236308,114491,120599,233737,2570,1,1087229,1158,1326653,1088387,236308,3868,52008,51280,{AEA3AE00-E34E-48C0-8B01-466A26B4B1E0},2227,21510,23737,0.093819775,41,5.083999885,0.459639407
49,49,44,87,MONROE,Monroe,FL,8644,208,366,880,1375,1312,1457,1460,1008,432,144,2,0 to 101,46,4398,4204,42,8461,183,0,1882,3181,83,3621,263,3480,5093,0,71,8395,3276,100,99,5,1626,1741,9,3376,68,126,432,707,618,595,457,306,131,40,0,0 to 100,41,2518,232,123,503,1103,1683,590,406,10,175,6,0,28,3480,1797,1673,3376,104,0,23586,73,27155,23659,3480,28,4978,4705,{629DEEAE-BCFA-4AD2-8DE1-1D764EDD7AC6},56,593,649,0.086286595,41,13.26280408,0.235931609
50,50,57,113,SANTA ROSA,Santa Rosa,FL,15831,430,962,2028,2239,2368,2475,2379,1707,880,349,14,0 to 119,44,8145,7627,59,15674,157,0,1209,8005,99,6137,462,7769,7969,0,93,15582,7558,112,99,0,3615,4028,27,7670,120,384,1275,1243,1239,1275,1113,631,352,134,3,0 to 105,41,5503,667,441,1059,313,6156,1201,449,1,444,4,2,103,7769,4066,3674,7670,99,0,39751,59,47620,39810,7769,103,6668,6128,{EDF59BBC-47AF-4B2F-BD97-6DAB59DD7B4C},112,505,617,0.181523501,41,3.552029248,0.244558859
51,51,66,131,WALTON,Walton,FL,5904,115,269,801,868,930,933,927,597,297,161,6,0 to 101,44,2945,2905,54,5443,461,0,612,3764,15,3824,487,3801,2096,0,7,5436,3250,183,358,10,1594,1820,19,3433,42,159,618,637,664,623,556,319,148,33,2,0 to 101,41,2260,275,152,746,413,2254,766,467,38,154,6,4,38,3801,1995,1785,3433,368,0,17057,96,20993,17153,3801,38,1660,1605,{31CA379B-FB64-4C77-9456-056BCF505A65},38,258,296,0.128378378,41,3.601388778,0.254870622
52,52,32,63,JACKSON,Jackson,FL,6949,137,313,755,1174,1182,1145,974,634,404,229,2,0 to 105,44,2995,3886,68,6884,65,0,194,3643,19,3696,51,3959,2946,0,44,6840,3710,197,48,4,1575,2323,9,3907,46,144,454,705,711,649,533,343,239,135,0,0 to 105,44,2003,740,196,968,128,2324,1455,273,5,226,3,0,95,3959,2347,1603,3907,52,0,16867,13,20854,16880,3959,95,2957,2766,{BAF89079-8026-4E6B-B424-2DD9BC8AF99D},29,337,366,0.079234973,43,2.216465106,0.231093281
53,53,67,133,WASHINGTON,Washington,FL,2674,58,162,279,400,398,435,430,250,179,83,0,0 to 119,45,1318,1337,19,2655,19,0,114,1277,9,1776,22,1566,1092,0,16,2639,1421,128,13,3,651,896,2,1549,17,73,174,290,263,262,222,128,99,37,0,0 to 99,43,1002,307,73,167,47,1089,413,96,3,95,2,0,27,1565,903,660,1549,16,0,6749,4,8343,6753,1565,27,1619,1563,{ED919630-6DB9-4E1B-B6B4-EAFA4D161468},10,103,113,0.088495575,43,2.379530618,0.149981584
54,54,45,89,NASSAU,Nassau,FL,7408,135,391,959,892,928,1112,1216,983,555,234,3,0 to 103,48,4037,3302,69,7038,370,0,614,3609,28,2367,442,3342,4001,0,65,6974,2940,132,263,7,1596,1475,1,3072,38,146,530,466,467,565,515,345,181,89,0,0 to 103,45,2499,259,125,189,118,2650,304,338,16,178,6,1,57,3342,1579,1762,3072,270,0,24960,100,28417,25060,3342,57,4204,4199,{4D22D524-13F7-4497-919B-BC6894006209},49,415,464,0.105603448,45,3.759421308,0.154419686
55,55,22,43,GLADES,Glades,FL,949,18,68,115,191,191,138,100,67,52,8,1,0 to 90,39,375,572,2,948,1,0,95,418,3,646,11,683,264,0,2,946,672,10,1,0,221,460,1,682,10,31,78,161,154,105,76,35,28,5,0,0 to 89,38,493,121,37,31,253,396,33,77,0,55,0,0,10,683,461,221,682,1,0,1220,0,1904,1220,683,10,706,646,{DB14356A-7E77-445A-A524-193DAC2519E8},4,16,20,0.2,38,2.276843366,0.23195701
