OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,41,GILCHRIST,Gilchrist,FL,1668,44,111,248,236,227,227,217,157,117,84,0,0 to 118,43,894,765,9,1668,0,0,116,823,2,882,24,794,870,1,3,1664,708,86,0,0,383,406,5,794,13,48,128,139,114,109,93,54,48,48,0,0 to 106,40,605,62,38,89,91,607,96,90,0,48,0,0,20,794,406,383,794,0,0,5053,0,5858,5053,794,20,1000,983,{CB6285A2-DA2E-4583-AAD5-1221776836AE},12,75,87,0.137931034,40,1.429266672,0.085830646
2,2,54,107,PUTNAM,Putnam,FL,6679,198,616,876,909,854,920,993,696,404,205,8,0 to 118,43,3841,2795,43,6664,15,0,1041,3168,133,3510,69,2855,3797,0,27,6637,1642,1206,3,4,1506,1332,10,2848,69,283,458,399,414,380,384,273,132,62,1,0 to 100,40,1788,716,278,66,522,2237,89,439,2,296,2,0,60,2855,1337,1508,2848,7,0,19350,8,22226,19358,2855,60,1811,1748,{CE511C5D-2638-44A3-B2F8-B13847543637},41,291,332,0.123493976,40,2.246427874,0.199542021
3,3,62,123,TAYLOR,Taylor,FL,2942,67,182,316,538,521,445,412,280,132,45,4,0 to 118,41,1219,1703,20,2932,10,0,85,1657,3,1612,32,1669,1267,0,6,2926,1571,94,4,0,509,1154,2,1665,10,45,172,362,368,288,222,121,59,22,0,0 to 95,41,917,591,82,75,133,1423,109,152,0,70,0,0,21,1669,1155,512,1665,4,0,6339,6,8039,6345,1669,21,1739,1642,{541BD5A3-4453-499A-9896-F0EDC5353D0B},9,161,170,0.052941176,40,2.584293786,0.251180544
4,4,46,91,OKALOOSA,Okaloosa,FL,18385,396,1469,2568,2832,2639,2352,2511,1662,1127,777,52,0 to 119,41,10336,7934,115,18159,225,1,964,8582,137,6254,438,9431,8860,2,92,18067,8792,542,85,12,4995,4279,60,9334,110,467,1478,1731,1455,1291,1343,818,453,273,12,0 to 103,41,4712,737,1605,2280,828,6277,2229,631,5,431,6,1,160,9431,4328,5043,9333,97,1,45786,127,55413,45913,9431,160,13809,13385,{EB5D2450-A892-40FD-9BA4-9821A7438525},199,655,854,0.233021077,40,3.2142959,0.223073368
5,5,7,13,CALHOUN,Calhoun,FL,1721,39,148,207,236,255,234,223,191,127,61,0,0 to 99,44,861,846,14,1719,2,0,81,566,4,748,19,902,815,0,4,1715,803,97,2,0,399,500,1,900,12,45,98,152,134,132,118,101,70,40,0,0 to 99,46,610,115,85,90,30,732,138,81,1,40,1,0,22,902,501,400,900,2,0,4953,0,5865,4953,902,22,1339,1279,{3B55AA95-5170-4CAF-82A3-E99AD7459349},17,189,206,0.082524272,45,1.881030493,0.139649279
6,6,50,99,PALM BEACH,Palm Beach,FL,135421,2450,5462,16254,19709,18247,19645,20272,15752,10383,5638,1609,0 to 119,47,72578,62341,502,133915,1504,2,15224,89071,465,49451,1670,67106,67754,149,412,133362,65411,911,772,12,34174,31888,260,66322,1037,2949,11193,12301,10421,10153,8625,4963,3182,2228,54,0 to 106,40,29764,9459,11146,15953,17675,31324,17323,6375,83,4541,57,24,1709,67106,32305,34520,66320,784,2,449173,719,517636,449892,67106,1709,26201,25938,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},663,8153,8816,0.075204174,40,4.371977007,0.517626395
7,7,56,111,ST. LUCIE,St. Lucie,FL,23778,600,1229,2686,3251,3245,3611,3578,2866,1721,961,30,0 to 119,47,13470,10120,188,23607,171,0,2526,11867,188,10122,464,11051,12367,4,356,23248,10839,171,39,2,6024,4974,12,11010,199,493,1482,1788,1735,1754,1533,1102,603,360,2,0 to 104,43,5111,2345,1466,2088,2479,5982,2549,1143,6,898,5,1,370,11051,4993,6045,11010,41,0,73036,129,84273,73165,11051,370,11904,11889,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},88,989,1077,0.081708449,43,2.40436561,0.13681239
8,8,51,101,PASCO,Pasco,FL,32544,655,2195,4252,4199,4437,4936,4733,3876,2315,927,19,0 to 119,46,17979,14399,166,32332,212,0,2584,17570,223,14304,725,15480,16802,4,258,32070,14848,487,143,2,8062,7189,84,15335,226,761,2354,2350,2311,2409,2070,1619,985,390,5,0 to 105,43,11069,953,1984,1329,3262,10396,1677,1722,14,1280,8,2,285,15480,7253,8142,15335,145,0,116877,70,132506,116947,15480,285,17989,17444,{83116673-3FAD-423E-B67E-DFE7515F5E81},225,1962,2187,0.102880658,42,2.211523842,0.181730911
9,9,20,39,GADSDEN,Gadsden,FL,6314,172,417,740,999,1089,1042,885,612,242,113,3,0 to 119,42,3641,2662,11,6289,24,1,718,3249,46,2590,61,3379,2928,1,6,6283,3253,115,11,0,1671,1692,5,3368,86,224,463,553,626,588,442,243,113,40,1,0 to 98,40,1020,1443,637,268,653,2299,416,474,1,257,0,0,57,3379,1694,1680,3367,11,1,16871,16,20314,16887,3379,57,1881,1686,{77657EA6-12D6-4645-9915-E7357C9F40D6},27,334,361,0.074792244,40,2.033391917,0.128633606
10,10,37,73,LEON,Leon,FL,29700,637,1078,9201,4521,3616,3448,3351,2350,950,503,45,0 to 119,33,16075,13521,104,29042,657,1,3591,17630,201,10797,398,15505,14156,5,34,29006,14933,121,444,7,8298,6727,29,15054,242,552,6942,2360,1672,1401,1192,647,296,192,9,0 to 106,25,6296,4260,1948,2550,1416,9523,4115,842,31,337,17,15,147,15505,6914,8558,15053,451,1,107725,212,123617,107937,15505,147,7629,7224,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},137,2496,2633,0.052031903,24,2.428616327,0.170704044
11,11,33,65,JEFFERSON,Jefferson,FL,1534,42,87,145,191,202,240,274,208,108,36,1,0 to 101,49,728,803,3,1514,20,0,57,889,41,817,32,792,739,1,2,1512,660,115,14,3,301,473,1,775,11,33,78,126,103,145,145,83,45,23,0,0 to 99,48,328,380,46,21,38,684,53,73,2,43,0,0,11,792,482,309,775,17,0,4136,1,4943,4137,792,11,646,608,{862C7BAB-C64B-458C-A6FA-56543968D206},4,86,90,0.044444444,48,2.204930935,0.148496656
12,12,40,79,MADISON,Madison,FL,2619,125,286,314,316,334,375,333,291,156,81,8,0 to 101,42,1519,1095,5,2584,35,0,155,1148,53,1633,95,1296,1321,1,1,2582,873,406,15,2,723,555,1,1279,44,103,157,172,178,216,177,132,66,51,0,0 to 101,44,456,719,62,42,63,1106,110,197,1,66,2,2,27,1296,559,736,1279,17,0,5779,18,7104,5797,1296,27,1775,1678,{89851E42-542B-499A-AC7E-D8F5369F3D0B},20,212,232,0.086206897,44,2.169691637,0.17402633
13,13,39,77,LIBERTY,Liberty,FL,2690,33,74,268,722,612,452,335,126,46,13,9,0 to 105,38,459,2227,4,2689,1,0,44,1915,1,399,15,616,2071,0,3,2686,561,54,1,0,187,428,0,615,8,19,103,117,104,109,97,35,19,5,0,0 to 88,40,428,126,32,29,32,458,125,45,0,16,0,0,14,616,428,188,615,1,0,3472,0,4089,3472,616,14,715,691,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},5,56,61,0.081967213,40,3.020973915,0.204641327
14,14,24,47,HAMILTON,Hamilton,FL,2761,59,116,257,643,522,432,335,239,100,55,3,0 to 118,40,809,1937,15,2748,13,0,85,1924,9,1047,34,1006,1754,0,1,2748,811,186,4,5,366,630,1,997,31,69,120,193,167,161,137,81,33,14,0,0 to 91,41,465,445,68,19,122,738,137,121,1,47,0,0,11,1006,635,370,997,9,0,5264,3,6275,5267,1006,11,417,415,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},9,46,55,0.163636364,41,2.301523665,0.126367836
15,15,3,5,BAY,Bay,FL,12587,150,450,1595,1973,1947,2092,2028,1330,675,296,51,0 to 119,45,6588,5928,71,12207,380,0,1609,5299,28,8254,374,8897,3648,1,41,12167,8328,227,333,9,4366,4153,36,8555,83,281,1284,1558,1454,1475,1343,862,415,142,0,0 to 99,43,5231,795,1001,1528,621,5984,1950,890,35,437,15,7,159,8897,4328,4532,8555,342,0,43010,46,52023,43056,8897,159,2647,2640,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},169,1487,1656,0.10205314,43,5.42268521,0.181027421
16,16,12,23,COLUMBIA,Columbia,FL,8095,190,402,831,1175,1228,1192,1322,975,501,270,9,0 to 119,47,3694,4350,51,8063,32,0,1086,3084,63,4974,66,4866,3222,0,7,8056,4393,454,16,3,1826,3017,4,4847,78,207,570,816,842,787,715,485,260,105,1,0 to 102,43,3000,1375,221,251,282,4188,377,165,1,312,3,0,97,4866,3029,1833,4847,19,0,17113,13,22048,17126,4866,97,1667,1666,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},24,172,196,0.12244898,43,2.633678621,0.193837654
17,17,2,3,BAKER,Baker,FL,3432,79,180,488,601,587,538,478,275,148,56,2,0 to 103,40,1584,1832,16,3368,64,0,391,1643,16,1519,44,2080,1315,0,37,3331,1680,390,6,4,789,1281,0,2070,13,65,263,410,415,351,294,162,79,28,0,0 to 103,41,1167,266,69,568,22,1321,727,177,0,106,0,0,33,2080,1286,794,2070,10,0,8293,51,10451,8344,2080,33,2600,2599,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},18,85,103,0.174757282,41,1.771245194,0.142602237
18,18,30,59,HOLMES,Holmes,FL,2268,36,155,279,301,303,359,336,285,148,66,0,0 to 119,47,1206,1046,16,2239,29,0,101,976,5,998,163,1214,1050,0,4,2235,1037,157,16,4,592,601,1,1194,15,62,164,195,176,187,173,128,75,39,0,0 to 101,44,924,94,76,100,40,985,169,67,0,46,0,0,15,1214,606,607,1194,20,0,5358,9,6592,5367,1214,15,1632,1626,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},14,181,195,0.071794872,43,1.736445925,0.117992934
19,19,43,85,MARTIN,Martin,FL,13814,297,725,1668,1563,1655,1865,2154,1904,1354,609,20,0 to 101,50,7105,6383,326,13669,145,0,1247,8063,82,5138,177,6412,7342,2,58,13610,6315,29,67,1,3192,3117,35,6344,122,347,1035,972,925,974,818,534,426,257,2,0 to 101,42,3144,304,1233,1663,1957,2847,1540,802,6,463,3,1,178,6412,3150,3227,6344,68,0,44240,75,50776,44315,6412,178,6442,6431,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},60,461,521,0.115163148,41,2.978669942,0.153458428
20,20,29,57,HILLSBOROUGH,Hillsborough,FL,115392,2757,6239,17083,19403,17027,17138,15723,10866,5829,2776,551,0 to 119,41,63061,51141,1190,114528,864,0,9449,82485,458,28991,1001,59810,54564,19,999,113511,58378,979,446,6,31293,27538,526,59357,1152,2898,11089,11886,9344,8951,6795,3863,2212,1180,439,0 to 110,37,24298,7347,8575,19137,15743,23102,20512,4337,38,2309,23,5,947,59809,27736,31539,59357,452,0,380964,419,441768,381383,59809,947,30565,30220,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},530,6555,7085,0.074805928,37,3.45236135,0.251838053
21,21,41,81,MANATEE,Manatee,FL,32435,649,1581,3580,4183,4099,4481,5180,4732,2789,1045,116,0 to 119,49,17757,14297,381,31960,475,0,5389,19911,177,13345,387,17324,15076,3,32,31925,16994,96,233,1,8980,7912,198,17090,359,1094,2675,2873,2615,2550,2315,1563,879,389,12,0 to 101,41,9636,1536,2540,3378,4447,8972,3671,982,15,983,12,4,383,17324,8025,9095,17090,234,0,128066,269,145753,128335,17324,383,3207,3108,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},152,2398,2550,0.059607843,40,3.591796952,0.17764804
22,22,10,19,CLAY,Clay,FL,17787,285,1026,2305,2210,2682,2923,2708,2022,1142,457,27,0 to 102,46,9582,7863,342,17750,37,0,2065,9684,130,5199,296,8307,9442,2,36,17712,7877,409,19,1,4263,3892,131,8286,92,375,1258,1181,1397,1442,1195,741,430,194,1,0 to 102,43,5035,1119,637,1495,723,5755,1808,1259,3,494,3,0,154,8306,3901,4274,8286,20,0,58165,17,66525,58182,8306,154,7016,6982,{D8B9952E-371D-460F-96AE-4666BDB4AD84},109,758,867,0.125720877,43,1.775749954,0.155892404
23,23,25,49,HARDEE,Hardee,FL,3304,142,447,580,547,430,450,341,220,109,38,0,0 to 95,33,1691,1591,22,3295,9,0,110,907,2,2429,44,1791,1508,1,4,3290,1227,557,6,1,881,898,5,1784,47,157,348,332,272,281,187,103,52,12,0,0 to 93,35,1279,135,246,124,1027,616,141,223,3,150,4,1,18,1791,903,883,1784,7,0,7850,2,9652,7852,1791,18,2991,2891,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},13,69,82,0.158536585,35,1.600756879,0.150973022
24,24,42,83,MARION,Marion,FL,33007,467,1579,3383,4424,4437,4719,4997,4738,3016,1229,18,0 to 168,49,19640,13307,60,32939,68,0,5972,12986,177,15844,391,13462,19490,1,54,32885,12798,623,40,1,7823,5573,25,13421,158,560,1681,2266,2239,2079,1840,1378,837,420,4,0 to 106,44,9016,2258,1098,1049,1829,10114,1478,1811,8,1180,2,0,384,13462,5589,7846,13421,41,0,83817,26,97426,83843,13462,384,7937,7775,{76CC1B01-DF08-469D-A322-71F8D05597D9},178,1402,1580,0.112658228,43,3.402728798,0.399426439
25,25,64,127,VOLUSIA,Volusia,FL,38396,525,1372,4114,4767,4560,5558,6862,5904,3149,1497,88,0 to 119,52,21034,16793,569,38103,293,0,2962,25721,230,12162,618,16921,21365,0,110,37993,15632,1081,200,8,8709,7839,165,16713,217,723,2753,2666,2232,2477,2455,1840,1000,550,8,0 to 103,44,8954,1939,3046,2774,2622,10054,4037,1927,27,1118,13,1,371,16921,7942,8806,16713,208,0,119391,87,136533,119478,16921,371,9158,8540,{3B926974-437E-4986-9BFF-D87D276166F4},143,2558,2701,0.052943354,44,5.331197029,0.28958888
26,26,15,29,DIXIE,Dixie,FL,1891,42,119,191,244,354,253,279,234,123,51,1,0 to 118,44,913,974,4,1888,3,0,116,718,6,1122,24,974,917,0,0,1888,854,117,1,2,382,589,0,971,10,44,103,145,199,144,144,116,54,15,0,0 to 91,44,726,189,34,22,55,880,36,103,0,67,0,0,11,974,590,384,971,3,0,5138,1,6125,5139,974,11,1017,962,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},6,97,103,0.058252427,44,2.286003523,0.169869357
27,27,35,69,LAKE,Lake,FL,26736,514,1123,2561,3156,3179,3635,4124,4174,2832,1028,410,0 to 103,52,14247,11714,775,26515,221,0,2353,19005,222,7157,293,10899,15628,1,208,26308,10622,175,100,2,5640,5014,143,10797,192,498,1519,1681,1553,1618,1503,1208,781,341,5,0 to 103,44,5021,1177,1944,2655,1842,6019,2936,1335,22,853,16,3,258,10899,5061,5693,10797,102,0,101066,121,112194,101187,10899,258,6231,5943,{9712F6A1-E709-4877-97E2-3FE2EADA2B79},95,1560,1655,0.057401813,44,3.137217766,0.276793967
28,28,38,75,LEVY,Levy,FL,3605,100,299,493,452,391,487,585,423,275,96,4,0 to 118,46,2008,1585,12,3597,8,0,340,1591,16,1970,49,1452,2152,0,1,3596,1252,193,4,3,751,691,3,1445,30,106,247,209,177,224,214,145,81,18,1,0 to 99,42,904,238,196,107,252,1054,139,144,0,108,0,0,14,1452,696,753,1445,7,0,9824,1,11286,9825,1452,14,2506,2457,{E8B9FC01-E14C-4049-BABC-F4AA93256EA0},20,135,155,0.129032258,42,3.285612677,0.269417839
29,29,60,119,SUMTER,Sumter,FL,7635,55,168,346,572,660,719,1059,2312,1448,237,59,0 to 119,66,3685,3818,132,7545,90,0,571,4495,164,3098,267,3602,4000,0,33,7512,3274,308,15,5,1541,2013,28,3582,12,91,231,380,463,445,521,828,499,113,19,0 to 101,58,1926,515,175,966,170,2156,1256,493,2,329,0,0,98,3602,2020,1554,3582,20,0,30328,69,34028,30397,3602,98,1732,1720,{A985CCBC-BA3E-4854-ACDF-8E9CD885E5AA},65,521,586,0.110921502,56,2.170222364,0.138739001
30,30,59,117,SEMINOLE,Seminole,FL,30980,577,1571,4344,4607,4403,4699,4481,3388,1694,1006,210,0 to 119,44,17127,13572,281,30870,110,0,2530,21055,246,7969,310,13323,17417,1,239,30633,13109,137,76,1,6981,6143,122,13246,206,602,2685,2477,1981,1933,1540,906,512,475,6,0 to 108,38,8361,1525,1829,1531,3399,8409,1438,1348,10,835,4,1,280,13323,6179,7017,13246,77,0,101997,34,115428,102031,13323,280,10184,9944,{5A9B725E-B5BC-4433-A9C5-F30390148C62},128,2360,2488,0.051446945,38,1.544658545,0.082501718
31,31,48,95,ORANGE,Orange,FL,117725,2348,4352,16616,21738,19436,18452,16286,10445,5016,2094,942,0 to 120,41,62671,53880,1174,116441,1283,1,8943,83807,585,24549,1132,59791,57634,4,296,116143,59106,272,407,6,30288,28287,803,59378,1039,2615,11849,13277,10361,8646,6312,3194,1636,811,51,0 to 110,35,22188,8771,12300,16119,18467,21749,19162,3339,61,1803,47,7,652,59791,28489,30488,59377,413,1,442379,872,503378,443251,59791,652,10580,10351,{E33D02E5-646C-40C2-B9D7-442237FBB181},578,9109,9687,0.059667596,35,2.695415342,0.23982321
32,32,9,17,CITRUS,Citrus,FL,10983,187,519,1016,1169,1090,1368,1805,1883,1357,584,5,0 to 222,55,6286,4581,116,10948,35,0,955,4574,119,6025,125,4945,5959,1,78,10871,3408,1511,13,13,2713,2189,17,4919,46,169,531,554,507,662,821,775,596,283,1,0 to 103,54,3992,244,325,358,267,4150,502,359,2,426,3,1,176,4945,2206,2722,4919,26,0,31979,7,36947,31986,4945,176,6895,6465,{3C97198A-A027-4923-A8F8-CE1FAFD29127},48,637,685,0.070072993,54,2.360781291,0.144732058
33,33,27,53,HERNANDO,Hernando,FL,10582,174,544,1232,1298,1247,1476,1697,1330,969,614,1,0 to 106,50,6075,4494,13,10538,44,0,832,4865,66,5873,81,5170,5408,0,4,10534,4205,935,26,4,2786,2352,2,5140,46,204,632,669,642,766,807,652,478,274,0,0 to 101,50,3974,364,662,140,891,4000,249,724,5,586,4,1,224,5170,2360,2807,5140,30,0,38465,14,43675,38479,5170,224,7340,7289,{6EB18EB2-9734-45D8-9BA1-42EEE8F524AF},61,570,631,0.096671949,50,1.974683493,0.116176883
34,34,52,103,PINELLAS,Pinellas,FL,69303,779,1759,6664,10307,8742,10199,12139,9755,5668,3218,73,0 to 120,51,38799,30421,83,68522,781,0,8422,45533,411,30764,1157,33857,35354,1,91,68430,32488,846,508,15,17848,15463,23,33334,437,1289,4661,6371,4663,4993,5053,3236,1867,1284,3,0 to 105,43,22073,4935,3012,3314,3792,23042,6500,4148,47,2902,31,4,915,33857,15693,18137,33334,523,0,271349,274,305676,271623,33857,915,2317,2227,{9A6AE3E8-4AEA-4D85-A26A-0191E0A5371A},362,5490,5852,0.061859193,43,3.375272337,0.06958273
35,35,61,121,SUWANNEE,Suwannee,FL,5467,148,326,690,742,789,775,821,574,352,239,11,0 to 118,45,2698,2721,48,5442,25,0,161,1799,110,3192,71,3337,2123,0,7,5435,3046,266,16,9,1364,1940,8,3312,68,171,463,504,547,522,487,294,175,105,1,0 to 102,43,2061,640,459,152,552,2536,224,383,2,185,0,0,87,3337,1947,1382,3312,25,0,10611,0,13998,10611,3337,87,1760,1756,{50957D1D-0570-4E74-922C-4AB5F585C01C},25,252,277,0.090252708,43,2.13933972,0.167912477
